data_path,label_path
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_313.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_313.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_314.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_314.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_321.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_321.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_322.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_322.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_323.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_323.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_324.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_324.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_331.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_331.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_332.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_332.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_333.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_333.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_334.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_334.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_341.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_341.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_342.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_342.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_343.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_343.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_344.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_344.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_411.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_411.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_412.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_412.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_413.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_413.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_414.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_414.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_421.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_421.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_422.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_422.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_423.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_423.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_424.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_424.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_431.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_431.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_432.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_432.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_433.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_433.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_434.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_434.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_441.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_441.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_442.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_442.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_443.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_443.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_10_444.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_10_444.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_111.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_111.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_112.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_112.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_113.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_113.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_114.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_114.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_121.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_121.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_122.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_122.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_123.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_123.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_124.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_124.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_131.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_131.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_132.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_132.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_133.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_133.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_134.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_134.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_141.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_141.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_142.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_142.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_143.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_143.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_144.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_144.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_211.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_211.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_212.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_212.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_213.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_213.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_214.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_214.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_221.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_221.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_222.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_222.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_223.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_223.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_224.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_224.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_231.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_231.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_232.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_232.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_233.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_233.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_234.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_234.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_241.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_241.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_242.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_242.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_243.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_243.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_244.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_244.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_311.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_311.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_312.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_312.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_313.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_313.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_314.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_314.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_321.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_321.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_322.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_322.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_323.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_323.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_324.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_324.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_331.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_331.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_332.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_332.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_333.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_333.mat
D:\PyCharm Project\3D UNET\SubVolumes_reconstruct\v001_1_20_334.mat,D:\PyCharm Project\3D UNET\SubVolumes_exact\v001_1_20_334.mat
